Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats,Price,Brand,Model,Age,Mileage(kmpl)
Mumbai,72000,CNG,Manual,First,998.0,58.16,5.0,1.75,Maruti,Wagon,10,
Pune,41000,Diesel,Manual,First,1582.0,126.2,5.0,12.5,Hyundai,Creta,5,19.67
Chennai,46000,Petrol,Manual,First,1199.0,88.7,5.0,4.5,Honda,Jazz,9,18.2
Chennai,87000,Diesel,Manual,First,1248.0,88.76,7.0,6.0,Maruti,Ertiga,8,20.77
Coimbatore,40670,Diesel,Automatic,Second,1968.0,140.8,5.0,17.74,Audi,A4,7,15.2
Hyderabad,75000,LPG,Manual,First,814.0,55.2,5.0,2.35,Hyundai,EON,8,29.54
Jaipur,86999,Diesel,Manual,First,1461.0,63.1,5.0,3.5,Nissan,Micra,7,23.08
Mumbai,36000,Diesel,Automatic,First,2755.0,171.5,8.0,17.5,Toyota,Innova,4,11.36
Pune,64430,Diesel,Manual,First,1598.0,103.6,5.0,5.2,Volkswagen,Vento,7,20.54
Chennai,65932,Diesel,Manual,Second,1248.0,74.0,5.0,1.95,Tata,Indica,8,22.3
Kochi,25692,Petrol,Manual,First,1462.0,103.25,5.0,9.95,Maruti,Ciaz,2,21.56
Kolkata,60000,Petrol,Automatic,First,1497.0,116.3,5.0,4.49,Honda,City,8,16.8
Jaipur,64424,Diesel,Manual,First,1248.0,74.0,5.0,5.6,Maruti,Swift,5,25.2
Delhi,72000,Diesel,Automatic,First,2179.0,187.7,5.0,27.0,Land,Rover,6,12.7
Pune,85000,Diesel,Automatic,Second,2179.0,115.0,5.0,17.5,Land,Rover,8,
Delhi,110000,Diesel,Manual,First,2477.0,175.56,7.0,15.0,Mitsubishi,Pajero,6,13.5
Kochi,58950,Diesel,Manual,First,1498.0,98.6,5.0,5.4,Honda,Amaze,4,25.8
Jaipur,25000,Diesel,Manual,First,1248.0,74.0,5.0,5.99,Maruti,Swift,3,28.4
Kochi,77469,Diesel,Manual,First,1461.0,83.8,5.0,6.34,Renault,Duster,6,20.45
Bangalore,78500,Diesel,Automatic,First,2143.0,167.62,5.0,28.0,Mercedes-Benz,New,6,14.84
Kochi,32982,Diesel,Automatic,First,1995.0,190.0,5.0,18.55,BMW,3,6,22.69
Bangalore,55392,Diesel,Manual,Second,1248.0,88.5,5.0,8.25,Maruti,S,5,23.65
Mumbai,55985,Petrol,Automatic,First,1984.0,177.01,5.0,23.5,Audi,A6,5,13.53
Kolkata,45807,Petrol,Manual,First,1197.0,80.0,5.0,1.87,Hyundai,i20,10,18.5
Kolkata,33000,Petrol,Automatic,First,1598.0,103.6,5.0,2.85,Volkswagen,Vento,10,14.4
Mumbai,51920,Petrol,Manual,First,1497.0,116.3,5.0,4.25,Honda,City,8,16.8
Hyderabad,54000,Diesel,Manual,First,1461.0,63.1,5.0,4.25,Nissan,Micra,8,23.08
Hyderabad,54000,Petrol,Manual,Second,998.0,67.1,5.0,2.75,Maruti,Alto,7,20.92
Kochi,37430,Petrol,Manual,First,1199.0,88.7,5.0,9.9,Honda,WRV,2,17.5
Mumbai,262000,Diesel,Manual,Fourth & Above,2494.0,102.0,7.0,4.0,Toyota,Innova,13,12.8
Bangalore,62000,Diesel,Manual,First,1461.0,108.45,5.0,7.75,Renault,Duster,7,19.01
Delhi,87615,Petrol,Manual,First,1798.0,138.1,5.0,6.75,Toyota,Corolla,8,14.53
Bangalore,72000,Diesel,Automatic,Second,2696.0,184.0,7.0,12.5,Mahindra,Ssangyong,7,11.18
Kolkata,35000,Diesel,Automatic,First,2698.0,179.5,5.0,11.5,Audi,A6,10,12.4
Coimbatore,55431,Petrol,Manual,Second,1598.0,103.5,5.0,6.98,Volkswagen,Vento,6,16.09
Jaipur,83816,Petrol,Manual,Second,1061.0,64.0,5.0,1.85,Maruti,Wagon,11,14.0
Kochi,50075,Diesel,Manual,First,1248.0,88.5,5.0,8.63,Maruti,Vitara,2,24.3
Delhi,52000,Petrol,Manual,First,1198.0,82.0,5.0,4.85,Mahindra,KUV,3,18.15
Pune,85000,Diesel,Automatic,First,2987.0,,5.0,28.0,Mercedes-Benz,M-Class,7,11.74
Chennai,62000,Diesel,Manual,First,1199.0,73.9,5.0,5.0,Volkswagen,Polo,7,22.07
Delhi,90000,Petrol,Manual,Second,796.0,46.3,5.0,1.25,Maruti,Alto,12,19.7
Kochi,19698,Petrol,Manual,First,624.0,37.5,4.0,1.53,Tata,Nano,6,25.4
Coimbatore,22033,Diesel,Manual,First,1198.0,77.0,6.0,5.58,Mahindra,KUV,3,25.32
Kochi,35487,Petrol,Manual,First,1197.0,82.9,5.0,4.74,Hyundai,i20,6,18.5
Bangalore,46374,Petrol,Automatic,First,1999.0,149.92,5.0,8.85,Hyundai,Elantra,6,14.62
Mumbai,52001,Petrol,Automatic,First,1798.0,138.03,5.0,10.11,Toyota,Corolla,4,14.28
Ahmedabad,58005,Diesel,Manual,Second,1991.0,112.2,5.0,4.25,Hyundai,Elantra,12,14.9
Bangalore,70704,Petrol,Manual,First,2694.0,163.7,7.0,10.95,Toyota,Innova,8,11.25
Jaipur,75000,Diesel,Manual,First,1120.0,71.0,5.0,3.85,Hyundai,Xcent,6,24.4
Jaipur,75800,Diesel,Manual,Second,2498.0,105.0,6.0,5.5,Mahindra,Thar,8,16.55
Kochi,13648,Diesel,Automatic,First,1968.0,174.33,5.0,21.43,Audi,A4,5,17.11
Delhi,52000,Diesel,Manual,First,1248.0,74.0,5.0,4.25,Maruti,Swift,6,22.9
Kolkata,53000,Diesel,Manual,First,1248.0,75.0,5.0,3.3,Maruti,Swift,6,17.8
Delhi,65650,Diesel,Manual,First,1248.0,74.0,5.0,3.85,Maruti,Swift,7,28.4
Chennai,54000,Petrol,Manual,Third,1197.0,82.0,5.0,3.6,Hyundai,Grand,5,18.9
Kolkata,39000,Petrol,Manual,First,1598.0,103.2,5.0,3.99,Volkswagen,Vento,5,15.04
Kochi,16542,Petrol,Manual,First,799.0,53.3,5.0,3.3,Renault,KWID,3,25.17
Kolkata,32000,Petrol,Manual,First,1197.0,78.9,5.0,2.07,Hyundai,i10,10,20.36
Hyderabad,121812,Diesel,Automatic,First,1995.0,147.6,5.0,7.75,Nissan,X-Trail,10,13.29
Hyderabad,39300,Petrol,Manual,First,998.0,67.1,5.0,2.25,Maruti,Zen,10,18.2
Mumbai,22000,Diesel,Manual,First,2393.0,147.8,8.0,16.5,Toyota,Innova,3,13.68
Bangalore,72000,Diesel,Manual,First,1399.0,68.0,5.0,2.75,Ford,Figo,10,20.0
Delhi,58000,Petrol,Automatic,First,1796.0,186.0,5.0,26.7,Mercedes-Benz,New,5,11.74
Pune,65000,Diesel,Manual,Second,2148.0,170.0,5.0,10.0,Mercedes-Benz,New,9,15.8
Chennai,178000,Diesel,Manual,First,1396.0,69.0,5.0,2.5,Tata,Indica,4,25.0
Jaipur,65664,Diesel,Automatic,First,1968.0,140.0,5.0,13.5,Audi,A4,8,16.55
Mumbai,63000,Petrol,Automatic,Second,1497.0,78.0,5.0,1.85,Honda,City,13,16.4
Coimbatore,15369,Diesel,Automatic,First,1950.0,194.0,5.0,35.67,Mercedes-Benz,C-Class,1,
Pune,63000,Diesel,Manual,First,1248.0,88.5,7.0,8.15,Maruti,Ertiga,4,24.52
Mumbai,13000,Diesel,Manual,First,1396.0,88.7,5.0,10.5,Hyundai,Creta,2,22.1
Mumbai,73000,Petrol,Automatic,First,,,5.0,14.5,Porsche,Cayenne,12,8.5
Mumbai,55729,Diesel,Manual,First,2179.0,140.0,7.0,9.65,Mahindra,XUV500,5,15.1
Kochi,45178,Petrol,Automatic,First,1197.0,78.9,5.0,3.48,Hyundai,i10,8,16.95
Kochi,56066,Diesel,Manual,First,1461.0,108.5,5.0,6.92,Nissan,Terrano,5,19.64
Coimbatore,37300,Petrol,Automatic,Second,1198.0,86.8,5.0,6.46,Honda,Brio,4,16.5
Delhi,56000,Diesel,Automatic,Second,1968.0,187.74,5.0,29.5,Audi,A6,6,18.53
Jaipur,111111,Diesel,Manual,First,1399.0,,5.0,2.0,Ford,Fiesta,12,17.8
Chennai,230000,Petrol,Manual,Third,1998.0,132.0,8.0,4.5,Toyota,Innova,14,12.4
Hyderabad,104000,Diesel,Manual,First,2494.0,102.0,7.0,11.75,Toyota,Innova,8,12.8
Hyderabad,87591,Petrol,Manual,First,1086.0,,5.0,1.3,Hyundai,Santro,15,
Jaipur,95100,Diesel,Manual,First,1248.0,74.0,5.0,3.75,Maruti,Swift,8,22.9
Pune,70000,Petrol,Manual,First,1193.0,88.7,5.0,4.5,Tata,Zest,3,17.57
Kochi,54944,Petrol,Manual,First,1198.0,86.7,5.0,4.82,Honda,Amaze,4,18.0
Hyderabad,70337,Diesel,Manual,First,1399.0,68.0,5.0,2.8,Ford,Figo,8,20.0
Jaipur,99638,Diesel,Manual,First,1248.0,73.94,5.0,3.11,Maruti,Ritz,7,23.2
Delhi,52000,Petrol,Manual,First,1497.0,117.3,5.0,3.25,Honda,City,11,17.8
Delhi,75000,Diesel,Automatic,Second,1995.0,218.0,5.0,13.9,BMW,5,9,16.73
